chrom	start	stop	id	chr#	wind#	nbBreak_EBR-V4	p_val_sim_100K	CEGA_cov	DGV_cov	FungtammasanCFS_cov	aPhasedRep_cov	directRep_cov	g4Rep_cov	invertedRep_cov	mirrorRep_cov	sTandemRep_cov	ZDNA_cov	G4_cov	refExon_cov	refGene_cov	RNA_G4_cov	selfChain_cov	SynBlc_cov	cpg_cov	LINE_cov	lowComplx_cov	LTR_cov	satellite_cov	simpleRep_cov	SINE_cov	SD_cov	%GC	cpg_count	aPhasedRep_count	DGV_count	directRep_count	g4Rep_count	G4_count	LINE_count	lowComplx_count	LTR_count	mirrorRep_count	refExon_count	refGene_count	satellite_count	SD_count	selfChain_count	simpleRep_count	SINE_count	sTandemRep_count	ZDNA_count	invertedRep_count
chr1	121400000	121500000	1wind1215	1	1215	0	0.99989	0	85669	0	47	20	21	7035	1110	18	0	22	0	0	0	100000	0	0	0	0	0	0	0	0	72477	0.36462	0	2	65	1	1	1	0	0	0	18	0	0	2	2	0	0	0	2	0	316
chr2	60700000	60800000	2wind608	2	608	0	0.99994	0	33535	0	333	1687	646	4322	3420	2229	406	1012	0	0	0	0	100000	3881	0	0	0	0	0	0	0	0.44537	5	14	11	64	32	32	0	0	0	62	4	2	0	0	0	0	0	134	20	205
chr2	92200000	92300000	2wind923	2	923	0	0.99995	0	100000	0	683	3933	17	4213	3401	1558	100	67	0	0	0	100000	0	3923	4412	709	1973	30651	0	0	65970	0.38944	2	29	115	152	3	3	9	2	5	51	0	1	2	108	195	0	1	114	6	202
chr2	207900000	208000000	2wind2080	2	2080	0	0.99994	18799	96211	100000	265	835	68	3763	2048	1330	150	302	0	0	0	3874	100000	0	3205	0	546	0	0	1524	2803	0.41096	0	11	5	31	12	12	5	0	1	43	4	2	0	1	4	0	4	80	9	218
chr2	222300000	222400000	2wind2224	2	2224	0	0.99991	0	100000	0	286	1250	68	3996	2791	1739	194	200	0	0	0	0	100000	0	0	0	529	0	0	0	0	0.40073	0	12	13	45	8	8	1	0	1	55	10	1	0	0	3	0	1	110	13	223
chr3	71400000	71500000	3wind715	3	715	0	0.99992	0	100000	0	264	2078	918	4681	3356	2225	466	1029	0	0	0	0	100000	0	2909	0	0	0	0	2277	0	0.42083	0	10	14	74	14	14	5	0	1	53	1	1	0	0	0	0	4	150	29	225
chr3	90400000	90500000	3wind905	3	905	0	0.99993	0	100000	0	590	92	0	3981	1949	75	29	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37214	0	24	62	4	2	2	1	0	0	25	0	0	2	0	0	0	0	7	3	226
chr4	49100000	49200000	4wind492	4	492	0	0.99999	0	100000	0	3675	36541	0	1509	1671	26557	57	21	0	0	0	45671	0	299	0	0	0	58605	0	0	41352	0.41412	1	143	185	1512	1	1	5	0	4	21	0	0	1	19	110	0	0	1021	3	85
chr4	49200000	49300000	4wind493	4	493	0	0.99998	0	100000	0	486	1548	246	4762	2076	1073	230	684	0	0	0	100000	0	0	8877	0	6360	3077	291	0	100000	0.45451	0	18	64	52	23	23	9	0	23	38	1	3	2	83	408	1	0	68	14	219
chr4	49300000	49400000	4wind494	4	494	0	0.99998	0	100000	0	375	1009	162	971	920	720	316	312	0	0	0	100000	0	0	0	0	922	0	291	0	38941	0.19816	0	16	43	36	11	11	1	0	4	19	0	0	0	48	167	1	0	40	15	53
